==========================================================================
PROPHET ADVANCED MESSAGE TRANSFER REPORT
==========================================================================
SimTime    | From       | To         | MsgID        | Priority       | Size(B)      | Type
==========================================================================
135.5      | p413       | c60        | B1           | 4 HIGH         | 859903       | ABORTED
140.5      | p413       | p323       | B1           | 4 HIGH         | 859903       | RELAY
240.0      | p58        | c60        | A2           | 5 DISTRESS     | 737018       | ABORTED
246.5      | p413       | c65        | B1           | 4 HIGH         | 859903       | ABORTED
293.5      | p328       | c65        | C1           | 3 MED-HIGH     | 713769       | ABORTED
294.5      | p328       | c56        | C1           | 3 MED-HIGH     | 713769       | ABORTED
312.5      | p322       | p148       | C2           | 3 MED-HIGH     | 946976       | RELAY
337.0      | p322       | c51        | C2           | 3 MED-HIGH     | 946976       | ABORTED
346.5      | p237       | t490       | D2           | 2 MEDIUM       | 663906       | ABORTED
352.0      | p323       | c56        | B1           | 4 HIGH         | 859903       | ABORTED
360.0      | p141       | t490       | E2           | 1 LOW          | 817103       | ABORTED
375.5      | p322       | c57        | C2           | 3 MED-HIGH     | 946976       | ABORTED
380.0      | p148       | c57        | C2           | 3 MED-HIGH     | 946976       | ABORTED
388.0      | p148       | c57        | C2           | 3 MED-HIGH     | 946976       | ABORTED
392.5      | p322       | c57        | C2           | 3 MED-HIGH     | 946976       | ABORTED
392.5      | p230       | c60        | D3           | 2 MEDIUM       | 992314       | ABORTED
398.0      | p322       | c51        | C2           | 3 MED-HIGH     | 946976       | ABORTED
412.0      | p148       | c51        | C2           | 3 MED-HIGH     | 946976       | ABORTED
417.5      | p413       | c53        | B1           | 4 HIGH         | 859903       | RELAY
420.0      | p148       | c51        | C2           | 3 MED-HIGH     | 946976       | ABORTED
422.0      | p322       | c57        | C2           | 3 MED-HIGH     | 946976       | ABORTED
431.0      | p143       | t385       | E4           | 1 LOW          | 909546       | ABORTED
434.5      | p143       | t383       | E4           | 1 LOW          | 909546       | ABORTED
438.5      | p143       | t382       | E4           | 1 LOW          | 909546       | RELAY
442.5      | t382       | t385       | E4           | 1 LOW          | 909546       | RELAY
443.0      | t382       | t386       | E4           | 1 LOW          | 909546       | RELAY
444.5      | p143       | t383       | E4           | 1 LOW          | 909546       | RELAY
453.5      | p326       | t489       | C3           | 3 MED-HIGH     | 663336       | ABORTED
462.5      | p143       | t488       | E4           | 1 LOW          | 909546       | RELAY
477.5      | p413       | c63        | B1           | 4 HIGH         | 859903       | RELAY
